Continent,Type,Cases,Population,Cases_per_10000
North America,Total Cases,123349069,598140916,2062.207512
North America,Total Recovered,118164571,598140916,1975.530646
South America,Total Cases,67703332,437694443,1546.817262
South America,Total Recovered,65097456,437694443,1487.280843
Asia,Total Cases,213527844,3307636360,645.5602151
Asia,Total Recovered,197706826,3307636360,597.7284214
Europe,Total Cases,242327218,692491991,3499.350478
Europe,Total Recovered,221414022,692491991,3197.351376
Oceania,Total Cases,13730651,42895329,3200.966474
Oceania,Total Recovered,13582065,42895329,3166.327271
Africa,Total Cases,14522627,1417029613,102.4864044
Africa,Total Recovered,12674905,1417029613,89.44700156
