Date,Total Cases (per million),Total Deaths (per million),New Cases (per million),New Deaths (per million)
17/03/2020,16.294,0.059,1.835,0.008
18/03/2020,19.83,0.059,2.34,0.008
19/03/2020,23.278,0.059,2.698,0.008
20/03/2020,26.519,0.088,3.123,0.013
21/03/2020,30.349,0.118,3.506,0.017
22/03/2020,34.857,0.295,3.978,0.042
23/03/2020,38.482,0.295,3.696,0.042
24/03/2020,44.728,0.413,4.062,0.051
25/03/2020,47.852,0.471,4.003,0.059
26/03/2020,52.92,0.56,4.235,0.072
27/03/2020,59.844,0.678,4.761,0.084
28/03/2020,63.675,0.766,4.761,0.093
29/03/2020,68.36,0.796,4.786,0.072
30/03/2020,72.779,1.002,4.9,0.101
31/03/2020,77.376,1.09,4.664,0.097
01/04/2020,81.501,1.267,4.807,0.114
02/04/2020,85.685,1.326,4.681,0.109
03/04/2020,91.814,1.473,4.567,0.114
04/04/2020,98.208,1.562,4.933,0.114
05/04/2020,102.628,1.68,4.895,0.126
06/04/2020,107.902,1.797,5.018,0.114
07/04/2020,111.762,1.827,4.912,0.105
08/04/2020,116.771,1.856,5.039,0.084
09/04/2020,121.368,1.915,5.097,0.084
10/04/2020,124.579,1.974,4.681,0.072
11/04/2020,128.056,2.063,4.264,0.072
12/04/2020,133.478,2.151,4.407,0.067
13/04/2020,137.986,2.239,4.298,0.063
14/04/2020,141.934,2.269,4.31,0.063
15/04/2020,146.943,2.416,4.31,0.08
16/04/2020,149.448,2.446,4.011,0.076
17/04/2020,152.689,2.475,4.016,0.072
18/04/2020,154.722,2.534,3.809,0.067
19/04/2020,156.313,2.593,3.262,0.063
20/04/2020,158.789,2.622,2.972,0.055
21/04/2020,159.82,2.622,2.555,0.051
22/04/2020,161.529,2.711,2.084,0.042
23/04/2020,163.002,2.74,1.936,0.042
24/04/2020,165.094,2.799,1.772,0.046
25/04/2020,167.687,2.829,1.852,0.042
26/04/2020,169.19,2.888,1.839,0.042
27/04/2020,170.309,2.888,1.646,0.038
28/04/2020,171.488,2.917,1.667,0.042
29/04/2020,172.402,2.947,1.553,0.034
30/04/2020,175.171,2.947,1.738,0.029
01/05/2020,176.851,3.005,1.68,0.029
02/05/2020,178.884,3.035,1.6,0.029
03/05/2020,181.978,3.035,1.827,0.021
04/05/2020,185.573,3.094,2.18,0.029
05/05/2020,187.193,3.094,2.244,0.025
06/05/2020,188.077,3.123,2.239,0.025
07/05/2020,189.403,3.153,2.033,0.029
08/05/2020,190.552,3.153,1.957,0.021
09/05/2020,192.556,3.153,1.953,0.017
10/05/2020,194.147,3.182,1.738,0.021
11/05/2020,196.121,3.182,1.507,0.013
12/05/2020,198.184,3.212,1.57,0.017
13/05/2020,198.655,3.212,1.511,0.013
14/05/2020,199.745,3.271,1.477,0.017
15/05/2020,200.924,3.3,1.482,0.021
16/05/2020,201.985,3.3,1.347,0.021
17/05/2020,202.486,3.33,1.191,0.021
18/05/2020,203.134,3.33,1.002,0.021
19/05/2020,204.519,3.33,0.905,0.017
20/05/2020,205.609,3.359,0.993,0.021
21/05/2020,206.522,3.359,0.968,0.013
22/05/2020,207.996,3.359,1.01,0.008
23/05/2020,210.294,3.389,1.187,0.013
24/05/2020,211.708,3.389,1.318,0.008
25/05/2020,213.476,3.389,1.477,0.008
26/05/2020,218.544,3.389,2.004,0.008
27/05/2020,224.054,3.389,2.635,0.004
28/05/2020,224.496,3.389,2.568,0.004
29/05/2020,224.791,3.389,2.399,0.004
30/05/2020,227.826,3.389,2.505,0
31/05/2020,228.71,3.389,2.429,0
01/06/2020,230.389,3.389,2.416,0
02/06/2020,231.509,3.389,1.852,0
03/06/2020,232.098,3.389,1.149,0
04/06/2020,234.839,3.389,1.477,0
05/06/2020,243,3.389,2.601,0
06/06/2020,243.56,3.418,2.248,0.004
07/06/2020,244.65,3.447,2.277,0.008
08/06/2020,245.21,3.447,2.117,0.008
09/06/2020,245.417,3.447,1.987,0.008
10/06/2020,245.623,3.447,1.932,0.008
11/06/2020,245.682,3.477,1.549,0.013
12/06/2020,246.595,3.477,0.514,0.013
13/06/2020,247.568,3.506,0.572,0.013
14/06/2020,248.835,3.536,0.598,0.013
15/06/2020,249.07,3.565,0.551,0.017
16/06/2020,250.278,3.565,0.695,0.017
17/06/2020,250.602,3.565,0.711,0.017
18/06/2020,250.897,3.565,0.745,0.013
19/06/2020,251.31,3.565,0.673,0.013
20/06/2020,251.486,3.565,0.56,0.008
21/06/2020,252.105,3.565,0.467,0.004
22/06/2020,252.577,3.565,0.501,0
23/06/2020,253.019,3.565,0.391,0
24/06/2020,253.107,3.565,0.358,0
25/06/2020,253.284,3.565,0.341,0
26/06/2020,253.402,3.565,0.299,0
