Date,Country,Cases
01/04/2020,Indonesia,0.541
02/04/2020,Indonesia,0.410
03/04/2020,Indonesia,0.711
04/04/2020,Indonesia,0.385
05/04/2020,Indonesia,0.657
06/04/2020,Indonesia,0.791
07/04/2020,Indonesia,0.897
08/04/2020,Indonesia,0.791
09/04/2020,Indonesia,1.223
10/04/2020,Indonesia,0.795
11/04/2020,Indonesia,1.198
12/04/2020,Indonesia,1.448
13/04/2020,Indonesia,1.147
14/04/2020,Indonesia,1.024
15/04/2020,Indonesia,1.078
16/04/2020,Indonesia,1.379
17/04/2020,Indonesia,1.477
18/04/2020,Indonesia,1.180
19/04/2020,Indonesia,1.187
20/04/2020,Indonesia,0.672
21/04/2020,Indonesia,1.361
22/04/2020,Indonesia,1.027
23/04/2020,Indonesia,1.296
24/04/2020,Indonesia,1.583
25/04/2020,Indonesia,1.437
26/04/2020,Indonesia,0.998
27/04/2020,Indonesia,0.777
28/04/2020,Indonesia,1.506
29/04/2020,Indonesia,0.944
30/04/2020,Indonesia,1.260
01/05/2020,Indonesia,1.572
02/05/2020,Indonesia,1.060
03/05/2020,Indonesia,1.267
04/05/2020,Indonesia,1.434
05/05/2020,Indonesia,1.757
06/05/2020,Indonesia,1.332
07/05/2020,Indonesia,1.227
08/05/2020,Indonesia,1.220
09/05/2020,Indonesia,1.935
10/05/2020,Indonesia,1.405
11/05/2020,Indonesia,0.846
12/05/2020,Indonesia,1.757
13/05/2020,Indonesia,2.501
14/05/2020,Indonesia,2.062
15/05/2020,Indonesia,1.779
16/05/2020,Indonesia,1.920
17/05/2020,Indonesia,1.775
18/05/2020,Indonesia,1.800
19/05/2020,Indonesia,1.764
20/05/2020,Indonesia,2.515
21/05/2020,Indonesia,3.532
22/05/2020,Indonesia,2.301
23/05/2020,Indonesia,3.445
24/05/2020,Indonesia,1.909
25/05/2020,Indonesia,1.739
26/05/2020,Indonesia,1.506
27/05/2020,Indonesia,2.490
28/05/2020,Indonesia,2.494
29/05/2020,Indonesia,2.461
30/05/2020,Indonesia,2.022
31/05/2020,Indonesia,2.541
01/06/2020,Indonesia,1.695
02/06/2020,Indonesia,2.211
03/06/2020,Indonesia,2.483
04/06/2020,Indonesia,2.123
05/06/2020,Indonesia,2.552
06/06/2020,Indonesia,3.604
07/06/2020,Indonesia,2.439
08/06/2020,Indonesia,3.074
09/06/2020,Indonesia,3.786
10/06/2020,Indonesia,4.501
11/06/2020,Indonesia,3.554
12/06/2020,Indonesia,4.033
13/06/2020,Indonesia,3.681
14/06/2020,Indonesia,3.111
15/06/2020,Indonesia,3.691
16/06/2020,Indonesia,4.014
17/06/2020,Indonesia,3.742
18/06/2020,Indonesia,4.831
19/06/2020,Indonesia,3.779
20/06/2020,Indonesia,4.450
21/06/2020,Indonesia,3.129
22/06/2020,Indonesia,3.463
23/06/2020,Indonesia,3.815
24/06/2020,Indonesia,4.040
25/06/2020,Indonesia,4.276
26/06/2020,Indonesia,4.501
27/06/2020,Indonesia,5.027
28/06/2020,Indonesia,4.348
29/06/2020,Indonesia,3.927
30/06/2020,Indonesia,4.693
01/07/2020,Indonesia,5.027
02/07/2020,Indonesia,5.895
03/07/2020,Indonesia,4.722
04/07/2020,Indonesia,5.252
05/07/2020,Indonesia,5.833
06/07/2020,Indonesia,4.388
07/07/2020,Indonesia,4.603
08/07/2020,Indonesia,6.726
09/07/2020,Indonesia,9.644
10/07/2020,Indonesia,5.848
11/07/2020,Indonesia,6.065
12/07/2020,Indonesia,6.102
13/07/2020,Indonesia,4.653
14/07/2020,Indonesia,5.775
15/07/2020,Indonesia,5.524
16/07/2020,Indonesia,5.713
17/07/2020,Indonesia,5.307
18/07/2020,Indonesia,6.359
19/07/2020,Indonesia,5.949
20/07/2020,Indonesia,6.145
21/07/2020,Indonesia,6.007
22/07/2020,Indonesia,6.831
23/07/2020,Indonesia,6.918
24/07/2020,Indonesia,6.392
25/07/2020,Indonesia,6.780
26/07/2020,Indonesia,5.416
27/07/2020,Indonesia,5.535
28/07/2020,Indonesia,6.345
29/07/2020,Indonesia,8.642
30/07/2020,Indonesia,6.911
31/07/2020,Indonesia,7.405
01/08/2020,Indonesia,5.662
02/08/2020,Indonesia,5.514
03/08/2020,Indonesia,6.094
04/08/2020,Indonesia,6.976
05/08/2020,Indonesia,6.588
06/08/2020,Indonesia,6.831
07/08/2020,Indonesia,8.976
08/08/2020,Indonesia,8.265
09/08/2020,Indonesia,6.871
10/08/2020,Indonesia,6.123
11/08/2020,Indonesia,6.145
12/08/2020,Indonesia,7.049
13/08/2020,Indonesia,7.615
14/08/2020,Indonesia,8.374
15/08/2020,Indonesia,8.512
16/08/2020,Indonesia,7.554
17/08/2020,Indonesia,6.610
18/08/2020,Indonesia,6.073
19/08/2020,Indonesia,6.904
20/08/2020,Indonesia,8.225
21/08/2020,Indonesia,7.975
22/08/2020,Indonesia,7.586
23/08/2020,Indonesia,7.394
24/08/2020,Indonesia,6.813
25/08/2020,Indonesia,8.882
26/08/2020,Indonesia,8.370
27/08/2020,Indonesia,9.869
28/08/2020,Indonesia,10.900
29/08/2020,Indonesia,12.007
30/08/2020,Indonesia,10.374
31/08/2020,Indonesia,9.956
01/09/2020,Indonesia,10.073
02/09/2020,Indonesia,11.161
03/09/2020,Indonesia,13.147
04/09/2020,Indonesia,11.866
05/09/2020,Indonesia,11.354
06/09/2020,Indonesia,12.501
07/09/2020,Indonesia,10.454
08/09/2020,Indonesia,11.056
09/09/2020,Indonesia,12.004
10/09/2020,Indonesia,14.014
11/09/2020,Indonesia,13.564
12/09/2020,Indonesia,13.815
13/09/2020,Indonesia,13.198
14/09/2020,Indonesia,11.401
15/09/2020,Indonesia,12.730
16/09/2020,Indonesia,14.385
17/09/2020,Indonesia,13.194
18/09/2020,Indonesia,14.123
19/09/2020,Indonesia,15.129
20/09/2020,Indonesia,14.479
21/09/2020,Indonesia,15.158
22/09/2020,Indonesia,14.777
23/09/2020,Indonesia,16.207
24/09/2020,Indonesia,16.820
25/09/2020,Indonesia,17.506
26/09/2020,Indonesia,16.312
27/09/2020,Indonesia,14.062
28/09/2020,Indonesia,12.737
29/09/2020,Indonesia,14.526
30/09/2020,Indonesia,15.550
01/10/2020,Indonesia,15.151
02/10/2020,Indonesia,15.670
03/10/2020,Indonesia,14.544
04/10/2020,Indonesia,14.490
05/10/2020,Indonesia,13.147
06/10/2020,Indonesia,14.722
07/10/2020,Indonesia,16.472
08/10/2020,Indonesia,17.604
09/10/2020,Indonesia,14.860
10/10/2020,Indonesia,15.586
11/10/2020,Indonesia,16.323
12/10/2020,Indonesia,11.858
13/10/2020,Indonesia,14.178
14/10/2020,Indonesia,14.980
15/10/2020,Indonesia,16.011
16/10/2020,Indonesia,15.612
17/10/2020,Indonesia,15.612
18/10/2020,Indonesia,14.900
19/10/2020,Indonesia,12.243
20/10/2020,Indonesia,13.074
21/10/2020,Indonesia,15.488
22/10/2020,Indonesia,16.087
23/10/2020,Indonesia,15.858
24/10/2020,Indonesia,14.773
25/10/2020,Indonesia,13.546
26/10/2020,Indonesia,11.695
27/10/2020,Indonesia,12.777
28/10/2020,Indonesia,14.624
29/10/2020,Indonesia,12.940
30/10/2020,Indonesia,10.515
31/10/2020,Indonesia,11.408
01/11/2020,Indonesia,9.786
02/11/2020,Indonesia,9.503
03/11/2020,Indonesia,10.791
04/11/2020,Indonesia,12.181
05/11/2020,Indonesia,14.755
06/11/2020,Indonesia,13.713
07/11/2020,Indonesia,15.470
08/11/2020,Indonesia,14.083
09/11/2020,Indonesia,10.356
10/11/2020,Indonesia,13.717
11/11/2020,Indonesia,13.684
12/11/2020,Indonesia,15.147
13/11/2020,Indonesia,19.760
14/11/2020,Indonesia,19.136
15/11/2020,Indonesia,14.904
16/11/2020,Indonesia,12.831
17/11/2020,Indonesia,13.818
18/11/2020,Indonesia,15.481
19/11/2020,Indonesia,17.416
20/11/2020,Indonesia,17.394
21/11/2020,Indonesia,18.141
22/11/2020,Indonesia,15.826
23/11/2020,Indonesia,16.123
24/11/2020,Indonesia,15.216
25/11/2020,Indonesia,20.087
26/11/2020,Indonesia,17.847
27/11/2020,Indonesia,21.154
28/11/2020,Indonesia,19.666
29/11/2020,Indonesia,22.748
30/11/2020,Indonesia,16.759
01/12/2020,Indonesia,18.483
02/12/2020,Indonesia,20.083
03/12/2020,Indonesia,30.377
04/12/2020,Indonesia,21.063
05/12/2020,Indonesia,21.876
06/12/2020,Indonesia,22.102
07/12/2020,Indonesia,20.886
08/12/2020,Indonesia,19.209
09/12/2020,Indonesia,21.989
10/12/2020,Indonesia,21.898
11/12/2020,Indonesia,22.904
12/12/2020,Indonesia,23.187
13/12/2020,Indonesia,22.465
14/12/2020,Indonesia,19.924
15/12/2020,Indonesia,22.214
16/12/2020,Indonesia,24.410
17/12/2020,Indonesia,26.693
18/12/2020,Indonesia,24.279
19/12/2020,Indonesia,28.134
20/12/2020,Indonesia,25.343
21/12/2020,Indonesia,24.857
22/12/2020,Indonesia,23.038
23/12/2020,Indonesia,27.274
24/12/2020,Indonesia,26.131
25/12/2020,Indonesia,26.348
26/12/2020,Indonesia,24.464
27/12/2020,Indonesia,23.695
28/12/2020,Indonesia,21.249
29/12/2020,Indonesia,28.686
30/12/2020,Indonesia,29.045
31/12/2020,Indonesia,29.307
01/01/2021,Indonesia,29.299
02/01/2021,Indonesia,26.145
03/01/2021,Indonesia,24.962
04/01/2021,Indonesia,24.512
05/01/2021,Indonesia,27.023
06/01/2021,Indonesia,32.138
07/01/2021,Indonesia,33.833
08/01/2021,Indonesia,38.537
09/01/2021,Indonesia,36.464
10/01/2021,Indonesia,34.991
11/01/2021,Indonesia,31.550
12/01/2021,Indonesia,36.468
13/01/2021,Indonesia,40.936
14/01/2021,Indonesia,41.949
15/01/2021,Indonesia,46.526
16/01/2021,Indonesia,51.630
17/01/2021,Indonesia,40.969
18/01/2021,Indonesia,32.980
19/01/2021,Indonesia,37.622
20/01/2021,Indonesia,45.619
21/01/2021,Indonesia,42.479
22/01/2021,Indonesia,49.481
23/01/2021,Indonesia,44.250
24/01/2021,Indonesia,42.787
25/01/2021,Indonesia,36.276
26/01/2021,Indonesia,47.528
27/01/2021,Indonesia,43.368
28/01/2021,Indonesia,49.709
29/01/2021,Indonesia,50.098
30/01/2021,Indonesia,52.697
31/01/2021,Indonesia,43.561
01/02/2021,Indonesia,39.905
02/02/2021,Indonesia,37.673
03/02/2021,Indonesia,43.499
04/02/2021,Indonesia,41.503
05/02/2021,Indonesia,42.646
06/02/2021,Indonesia,44.123
07/02/2021,Indonesia,39.299
08/02/2021,Indonesia,29.916
