Country,Date,Type,Number_per_10000
Malaysia,25/02/2021,Dose,0.343163539
Malaysia,26/02/2021,Dose,0.784033363
Malaysia,27/02/2021,Dose,1.19064641
Malaysia,28/02/2021,Dose,1.393803992
Malaysia,01/03/2021,Dose,2.032767352
Malaysia,02/03/2021,Dose,2.770032767
Malaysia,03/03/2021,Dose,3.340184689
Malaysia,04/03/2021,Dose,4.122132857
Malaysia,05/03/2021,Dose,4.558832291
Malaysia,06/03/2021,Dose,4.947274352
Malaysia,07/03/2021,Dose,5.197795651
Malaysia,08/03/2021,Dose,5.700625559
Malaysia,09/03/2021,Dose,6.060470658
Malaysia,10/03/2021,Dose,6.319630623
Malaysia,11/03/2021,Dose,6.617515639
Malaysia,12/03/2021,Dose,7.117664581
Malaysia,13/03/2021,Dose,7.169198689
Malaysia,14/03/2021,Dose,7.071492404
Malaysia,15/03/2021,Dose,6.781054513
Malaysia,16/03/2021,Dose,6.583258862
Malaysia,17/03/2021,Dose,6.246053024
Malaysia,18/03/2021,Dose,5.888293119
Malaysia,19/03/2021,Dose,5.396782842
Malaysia,20/03/2021,Dose,5.258564194
Malaysia,21/03/2021,Dose,5.481977957
Malaysia,22/03/2021,Dose,5.648197796
Malaysia,23/03/2021,Dose,5.805183199
Malaysia,24/03/2021,Dose,6.156389634
Malaysia,25/03/2021,Dose,6.483765267
Malaysia,26/03/2021,Dose,6.576407507
Malaysia,27/03/2021,Dose,6.675901102
Malaysia,28/03/2021,Dose,6.72088174
Malaysia,29/03/2021,Dose,7.18707179
Malaysia,30/03/2021,Dose,7.688412273
Malaysia,31/03/2021,Dose,8.043491212
Malaysia,01/04/2021,Dose,8.753053321
Malaysia,02/04/2021,Dose,9.337205839
Malaysia,03/04/2021,Dose,9.391420912
Malaysia,04/04/2021,Dose,9.330950253
Malaysia,05/04/2021,Dose,9.052427763
Malaysia,06/04/2021,Dose,8.702412869
Malaysia,07/04/2021,Dose,8.429252309
Malaysia,08/04/2021,Dose,7.766756032
Malaysia,09/04/2021,Dose,7.389633601
Malaysia,10/04/2021,Dose,7.318141197
Malaysia,11/04/2021,Dose,7.658325886
Malaysia,12/04/2021,Dose,8.110813226
Malaysia,13/04/2021,Dose,7.761394102
Malaysia,14/04/2021,Dose,7.661006851
Malaysia,15/04/2021,Dose,7.676496872
Malaysia,16/04/2021,Dose,7.588620792
Malaysia,17/04/2021,Dose,7.330652368
Malaysia,18/04/2021,Dose,6.766160262
Malaysia,19/04/2021,Dose,6.503723563
Malaysia,20/04/2021,Dose,6.881143878
Malaysia,21/04/2021,Dose,6.840035746
Malaysia,22/04/2021,Dose,6.938635687
Malaysia,23/04/2021,Dose,6.911826035
Malaysia,24/04/2021,Dose,6.987786714
Malaysia,25/04/2021,Dose,7.197497766
Malaysia,26/04/2021,Dose,7.075960679
Malaysia,27/04/2021,Dose,7.133154602
Malaysia,28/04/2021,Dose,7.644623175
Malaysia,29/04/2021,Dose,6.918975276
Malaysia,30/04/2021,Dose,7.250521299
Malaysia,01/05/2021,Dose,6.99642538
Malaysia,02/05/2021,Dose,7.036044087
Malaysia,03/05/2021,Dose,7.928507596
Malaysia,04/05/2021,Dose,8.572237116
Malaysia,05/05/2021,Dose,9.224009532
Malaysia,06/05/2021,Dose,11.06881144
Malaysia,07/05/2021,Dose,11.96901996
Malaysia,08/05/2021,Dose,12.89097408
Malaysia,09/05/2021,Dose,13.60411081
Malaysia,10/05/2021,Dose,14.04408698
Malaysia,11/05/2021,Dose,14.00863867
Malaysia,12/05/2021,Dose,12.4393804
Malaysia,13/05/2021,Dose,10.06613047
Malaysia,14/05/2021,Dose,8.032171582
Malaysia,15/05/2021,Dose,7.344057194
Malaysia,16/05/2021,Dose,6.401251117
Malaysia,17/05/2021,Dose,6.363121835
Malaysia,18/05/2021,Dose,7.609472744
Malaysia,19/05/2021,Dose,10.42895442
Malaysia,20/05/2021,Dose,13.88650581
Malaysia,21/05/2021,Dose,16.48853143
Malaysia,22/05/2021,Dose,18.00983021
Malaysia,23/05/2021,Dose,19.54721478
Malaysia,24/05/2021,Dose,21.04587429
Malaysia,25/05/2021,Dose,22.00089366
Malaysia,26/05/2021,Dose,19.36401549
Malaysia,27/05/2021,Dose,20.5248734
Malaysia,28/05/2021,Dose,21.09591898
Malaysia,29/05/2021,Dose,21.92612452
Malaysia,30/05/2021,Dose,22.62317545
Malaysia,31/05/2021,Dose,22.64343164
Malaysia,01/06/2021,Dose,22.61274948
Malaysia,02/06/2021,Dose,26.21120048
Malaysia,03/06/2021,Dose,26.66875186
Malaysia,04/06/2021,Dose,27.38695264
Malaysia,05/06/2021,Dose,27.70300864
Malaysia,06/06/2021,Dose,28.55287459
Malaysia,07/06/2021,Dose,27.25677688
Malaysia,08/06/2021,Dose,29.59904677
Malaysia,09/06/2021,Dose,31.73547811
Malaysia,10/06/2021,Dose,33.52249032
Malaysia,11/06/2021,Dose,35.02144772
Malaysia,12/06/2021,Dose,37.74620197
Malaysia,13/06/2021,Dose,39.84063152
Malaysia,14/06/2021,Dose,45.71700923
Malaysia,15/06/2021,Dose,48.62913315
Malaysia,16/06/2021,Dose,51.07536491
Malaysia,17/06/2021,Dose,53.98242478
Malaysia,18/06/2021,Dose,56.50372356
Malaysia,19/06/2021,Dose,57.9761692
Malaysia,20/06/2021,Dose,58.60262139
Malaysia,21/06/2021,Dose,60.37086685
Malaysia,22/06/2021,Dose,61.94131665
Malaysia,23/06/2021,Dose,64.10991957
Malaysia,24/06/2021,Dose,66.16324099
Malaysia,25/06/2021,Dose,67.74888293
Malaysia,26/06/2021,Dose,68.89365505
Malaysia,27/06/2021,Dose,70.22400953
Malaysia,28/06/2021,Dose,68.72028597
Malaysia,29/06/2021,Dose,68.0437891
Malaysia,30/06/2021,Dose,68.26899017
Malaysia,01/07/2021,Dose,67.94727435
